,lon,lat,z,type
101,-71.0862236745569,42.3637937405315,0.0,BAR
102,-71.08622579987455,42.363857951242736,0.0,BAR
103,-71.08622792519915,42.36392216195315,0.0,BAR
104,-71.0862300505307,42.36398637266276,0.0,RESTAURANT
105,-71.08623217586918,42.364050583371565,0.0,RESTAURANT
106,-71.0862343012146,42.36411479407955,0.0,RESTAURANT
107,-71.0862428026657,42.36437163690345,0.0,RESTAURANT
108,-71.08624492804582,42.3644358476074,0.0,RESTAURANT
109,-71.08624705343288,42.364500058310526,0.0,RESTAURANT
110,-71.08625980590101,42.36488532251243,0.0,BAR
111,-71.08626193133667,42.364949533209916,0.0,BAR
112,-71.08626405677926,42.36501374390659,0.0,BAR
113,-71.08626618222878,42.36507795460245,0.0,BAR
